Item#,Mfg Name,Mfg Part Number,Supplier,Mouser Part Number,Value,Designator,Description,GP Part No.,GP Description,Board Qty,Order Qty,Unit Price,Subtotal,STOCK,LEAD TIME,MIN,MIN PRICE,MULT,ROHS,NCNR,PACKAGE TYPE,LIFECYCLE,QUOTED MFG PART NUMBER,QUOTED MFG,MOUSER PART NUMBER,DESCRIPTION,DATA SHEET URL
1,TDK,C1608C0G2E271J080AA,Mouser,810-C1608C0G2E271J,270pF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 270pF 5% 250Volts,,,34,510,,0,,,,,,Yes,,,,C1608C0G2E271J080AA,TDK,810-C1608C0G2E271J,Multilayer Ceramic Capacitors MLCC - SMD/SMT 270pF 5% 250Volts,http://www.mouser.com/ds/2/400/mlcc_commercial_midvoltage_en-469114.pdf
2,TDK,CGA3E2X7R1H152K080AA,Mouser,810-CGA3E2X7R1H152K,1.5nF,C35,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1500pF 50volts X7R +/-10%,C63-1011500P50X7R10-CT ,CAP CER 1500PF 50V 10% X7R 0603,1,15,,0,,,,,,Yes,,,,CGA3E2X7R1H152K080AA,TDK,810-CGA3E2X7R1H152K,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1500pF 50volts X7R +/-10%,http://www.mouser.com/ds/2/400/mlcc_automotive_general_en-269806.pdf
3,Vishay,VJ0603Y104JXJPW1BC,Mouser,77-VJ0603Y104JXJPBC,100nF,C36 C40 C43 C45 C46 C48 C49 C50 C51 C54 C55 C59 C60 C61 C64 C65 C66 C70 C71 C72,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 16volts X7R 5%,C63-1010.1U50X7R5-CT,CAP CER 0.1UF 50V 5% X7R 0603,20,300,,0,,,,,,Yes,,,,VJ0603Y104JXJPW1BC,Vishay,77-VJ0603Y104JXJPBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 16volts X7R 5%,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf
4,Taiyo Yuden,LMK212B7106KG-TD,Mouser,963-LMK212B7106KG-TD,10uF,C37 C38 C39 C42 C44 C47 C52 C53 C56 C57 C58 C62 C63 C67 C68 C69,Multilayer Ceramic Capacitors MLCC - SMD/SMT X7R 0805 10V 10uF 10%,C85-10310U10X7R10-CT,CAP CER 10UF 10V 10% X7R 0805,16,240,,0,,,,,,Yes,,,,LMK212B7106KG-TD,Taiyo Yuden,963-LMK212B7106KG-TD,Multilayer Ceramic Capacitors MLCC - SMD/SMT X7R 0805 10V 10uF 10%,http://www.mouser.com/ds/2/396/mlcc_all_e-541559.pdf
5,Vishay,593D107X9010C2TE3,Mouser,74-593D107X9010C2TE3,100uF,C41,Tantalum Capacitors - Solid SMD Tantalum Capacitors - Solid SMD 100uF 10volts 10% C case Molded,,,1,15,,0,,,,,,Yes,,,,593D107X9010C2TE3,Vishay,74-593D107X9010C2TE3,Tantalum Capacitors - Solid SMD 100uF 10volts 10% C case Molded,http://www.mouser.com/ds/2/427/593d-239975.pdf
6,Harvatek,HT-193UYG-5592,Mouser,743-HT-193UYG-5592,LED,D1,Standard LEDs - SMD Standard LEDs - SMD UB YelGrn 573nm 50mcd 20mA,,,1,15,,0,,,,,,Yes,,,,HT-193UYG-5592,Harvatek,743-HT-193UYG-5592,Standard LEDs - SMD UB YelGrn 573nm 50mcd 20mA,http://www.mouser.com/ds/2/180/HT-193UYG-185667.pdf
7,Bourns,MH2029-221Y,Mouser,652-MH2029-221Y,MH2029-221Y,L1 L2 L3 L4 L5 L6 L7 L8,"EMI Filter Beads, Chips & Arrays EMI Filter Beads, Chips & Arrays 220uH 25% HIGH CURRENT",,,8,120,,0,,,,,,Yes,,,,MH2029-221Y,Bourns,652-MH2029-221Y,"EMI Filter Beads, Chips & Arrays 220uH 25% HIGH CURRENT",http://www.mouser.com/ds/2/54/mh-69602.pdf
8,FCI,54202-G0803ALF,Mouser,649-54202-G0803ALF,CONN_3X2,P20,Headers & Wire Housings Headers & Wire Housings 578-5NQF-BERGSTIK SMT,,,1,15,,0,,,,,,Yes,,,,54202-G0803ALF,FCI,649-54202-G0803ALF,Headers & Wire Housings 578-5NQF-BERGSTIK SMT,http://www.fciconnect.com/fciredir.htm?partnum=54202-G0803ALF
9,FCI,89898-303LF,Mouser,649-89898-303LF,CONN_3X2,P21,Board to Board & Mezzanine Connectors Board to Board & Mezzanine Connectors 6P DR SMT BTB RECPT,,,1,15,,0,,,,,,Yes,,,,89898-303LF,FCI,649-89898-303LF,Board to Board & Mezzanine Connectors 6P DR SMT BTB RECPT,http://www.mouser.com/ds/2/154/bus-12-055-533121.pdf
10,Susumu,RR0816P-2611-D-41H,Mouser,754-RR0816P-2611D41H,2.61k,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/16W 2.61Kohm 0.5% 25ppm,,,34,510,,0,,,,,,Yes,,,,RR0816P-2611-D-41H,Susumu,754-RR0816P-2611D41H,Thin Film Resistors - SMD 1/16W 2.61Kohm 0.5% 25ppm,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf
